id,conf,name,full,extra
western-conn-st,,Western Conn. St.,Western Connecticut State University
western-new-eng,,Western New Eng.,Western New England University
westfield-st,,Westfield St.,Westfield State University
westminster-mo,,Westminster (MO),Westminster College (Mo.)
westminster-pa,,Westminster (PA),Westminster College (Pa.)
wheaton-il,,Wheaton (IL),Wheaton College (Ill.)
wheaton-ma,,Wheaton (MA),Wheaton College (Mass.)
wheelock,,Wheelock,Wheelock College
whittier,,Whittier,Whittier College
whitworth,,Whitworth,Whitworth University
widener,,Widener,Widener University
wilkes,,Wilkes,Wilkes University
willamette,,Willamette,Willamette University
william-peace,,William Peace,William Peace University
williams,,Williams,Williams College,Williams College
wilmington-oh,,Wilmington (OH),Wilmington College
wilson,,Wilson,Wilson College
wis-lutheran,,Wis. Lutheran,Wisconsin Lutheran College
wis-eau-claire,,Wis.-Eau Claire,University of Wisconsin-Eau Claire
wis-la-crosse,,Wis.-La Crosse,University of Wisconsin-La Crosse
wis-oshkosh,,Wis.-Oshkosh,University of Wisconsin-Oshkosh
wis-platteville,,Wis.-Platteville,University of Wisconsin-Platteville
wis-river-falls,,Wis.-River Falls,University of Wisconsin-River Falls,UW-River Falls
wis-stevens-point,,Wis.-Stevens Point,Univ. of Wisconsin-Stevens Point
wis-stout,,Wis.-Stout,University of Wisconsin-Stout
wis-superior,,Wis.-Superior,University of Wisconsin-Superior
wis-whitewater,,Wis.-Whitewater,University of Wisconsin-Whitewater
wittenberg,,Wittenberg,Wittenberg University
wm-paterson,,Wm. Paterson,William Paterson University
wooster,,Wooster,College of Wooster
worcester-st,,Worcester St.,Worcester State University
wpi,,WPI,Worcester Polytechnic Institute
yeshiva,,Yeshiva,Yeshiva University
york-ny,,York (NY),York College (N.Y.)
york-pa,,York (PA),York College (Pa.)
simon-fraser,,Simon Fraser,Simon Fraser
dana,,Dana,Dana
minn-st-moorhead,,MSU-Moorhead,Minnesota State Univ.-Moorhead
okla-panhandle,,Okla. Panhandle St.,Oklahoma Panhandle State Univ.,Okla. Panhandle St
viterbo,,Viterbo,Viterbo University
